handle;year;cites;if_;if_5;docs_published;h_index;type;issn1;issn2;type2;year3;scimago_id;sjr;type4;year5;jourqual;type6;year7;bwl;type8;year9;vwl;journal_name
RePEc:eee:jeborg;2017;1928;1.39;1.76;229;95;ReDIF-Article;0167-2681;1879-1751;scimago;2018;23865;1.714;vhb-jourqual;2015;A;Handelsblatt-Ranking BWL;2018;C;Handelsblatt-Ranking VWL;2017;C;Journal of Economic Behavior & Organization
RePEc:eee:jebusi;2017;127;0.89;0.88;29;38;ReDIF-Article;0148-6195;1879-1735;scimago;2018;24378;0.386;vhb-jourqual;2015;C;Handelsblatt-Ranking BWL;2018;E;Handelsblatt-Ranking VWL;2017;F;Journal of Economics and Business
RePEc:eee:jeeman;2017;813;2.58;3.07;78;106;ReDIF-Article;0095-0696;1096-0449;scimago;2018;23352;2.232;vhb-jourqual;2015;B;Handelsblatt-Ranking BWL;2018;C;Handelsblatt-Ranking VWL;2017;B;Journal of Environmental Economics and Management
RePEc:eee:jefdev;2017;;null;null;0;7;ReDIF-Article;1085-7443;1873-5932;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;F;Journal of Energy Finance & Development
RePEc:eee:jelect;2017;;null;null;0;22;ReDIF-Article;1040-6190;1873-6874;scimago;2018;28802;0.665;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;The Electricity Journal
RePEc:eee:jetheo;2017;981;1.23;1.57;104;130;ReDIF-Article;0022-0531;1095-7235;scimago;2018;28981;3.467;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;B;Handelsblatt-Ranking VWL;2017;B;Journal of Economic Theory
RePEc:eee:jfinec;2017;3406;4.47;5.49;111;203;ReDIF-Article;0304-405X;1879-2774;scimago;2018;24379;13.636;vhb-jourqual;2015;A+;Handelsblatt-Ranking BWL;2018;A+;Handelsblatt-Ranking VWL;2017;A+;Journal of Financial Economics
RePEc:eee:jfinin;2017;456;2.83;3.35;27;64;ReDIF-Article;1042-9573;1096-0473;scimago;2018;28996;3.514;vhb-jourqual;2015;A;Handelsblatt-Ranking BWL;2018;C;Handelsblatt-Ranking VWL;2017;B;Journal of Financial Intermediation
RePEc:eee:jfpoli;2017;765;1.22;1.51;110;51;ReDIF-Article;0306-9192;1873-5657;scimago;2018;35048;1.782;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;C;Handelsblatt-Ranking VWL;2017;C;Food Policy
RePEc:eee:jhecon;2017;917;2.01;2.12;80;89;ReDIF-Article;0167-6296;1879-1646;scimago;2018;14166;3.106;vhb-jourqual;2015;A;Handelsblatt-Ranking BWL;2018;B;Handelsblatt-Ranking VWL;2017;B;Journal of Health Economics
RePEc:eee:jhouse;2017;129;0.53;0.92;24;34;ReDIF-Article;1051-1377;1096-0791;scimago;2018;13927;0.755;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;D;Handelsblatt-Ranking VWL;2017;D;Journal of Housing Economics
RePEc:eee:jiaata;2017;20;0.29;0.39;12;9;ReDIF-Article;1061-9518;1879-1603;scimago;2018;29884;0.563;vhb-jourqual;2015;B;Handelsblatt-Ranking BWL;2018;E;Handelsblatt-Ranking VWL;2017;;Journal of International Accounting, Auditing and Taxation
RePEc:eee:jimfin;2017;1715;2.27;2.84;119;95;ReDIF-Article;0261-5606;1873-0639;scimago;2018;17533;1.37;vhb-jourqual;2015;B;Handelsblatt-Ranking BWL;2018;C;Handelsblatt-Ranking VWL;2017;C;Journal of International Money and Finance
RePEc:eee:jjieco;2017;157;1.08;0.99;26;42;ReDIF-Article;0889-1583;1095-8681;scimago;2018;29401;0.443;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;E;Handelsblatt-Ranking VWL;2017;E;Journal of the Japanese and International Economies
RePEc:eee:jmacro;2017;603;0.94;1.37;66;45;ReDIF-Article;0164-0704;1873-152X;scimago;2018;20091;0.68;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;D;Handelsblatt-Ranking VWL;2017;D;Journal of Macroeconomics
RePEc:eee:jmvana;2017;392;0.34;0.42;120;38;ReDIF-Article;0047-259X;1095-7243;scimago;2018;23947;1.368;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;C;Handelsblatt-Ranking VWL;2017;;Journal of Multivariate Analysis
RePEc:eee:joaced;2017;26;0.28;0.23;20;7;ReDIF-Article;0748-5751;1873-1996;scimago;2018;29852;0.871;vhb-jourqual;2015;C;Handelsblatt-Ranking BWL;2018;D;Handelsblatt-Ranking VWL;2017;;Journal of Accounting Education
RePEc:eee:joacli;2017;21;1.13;0.84;5;5;ReDIF-Article;0737-4607;2452-1469;scimago;2018;21100265668;1.121;vhb-jourqual;2015;B;Handelsblatt-Ranking BWL;2018;D;Handelsblatt-Ranking VWL;2017;;Journal of Accounting Literature
RePEc:eee:jobhdp;2017;56;0.1;0.22;40;38;ReDIF-Article;0749-5978;1095-9920;scimago;2018;22326;2.742;vhb-jourqual;2015;A;Handelsblatt-Ranking BWL;2018;C;Handelsblatt-Ranking VWL;2017;;Organizational Behavior and Human Decision Processes
RePEc:eee:jobuve;2017;32;0.94;0.86;33;5;ReDIF-Article;2352-6734;;scimago;2018;21100369735;1.322;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Journal of Business Venturing Insights
RePEc:eee:jocaae;2017;31;0.39;0.4;20;8;ReDIF-Article;1815-5669;2352-3298;scimago;2018;19500157013;0.527;vhb-jourqual;2015;C;Handelsblatt-Ranking BWL;2018;E;Handelsblatt-Ranking VWL;2017;E;Journal of Contemporary Accounting and Economics
RePEc:eee:jocoma;2017;13;0.65;0.65;0;4;ReDIF-Article;2405-8513;2405-8505;scimago;2018;21100780475;0.725;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Journal of Commodity Markets
RePEc:eee:joecag;2017;63;0.84;0.89;17;7;ReDIF-Article;2212-828X;2212-8298;scimago;2018;21100268395;0.739;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;The Journal of the Economics of Ageing
RePEc:eee:joecas;2017;37;0.57;0.45;16;5;ReDIF-Article;1703-4949;2352-8397;scimago;2018;21100258760;0.356;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;E;The Journal of Economic Asymmetries
RePEc:eee:joepsy;2017;496;0.81;1.22;79;52;ReDIF-Article;0167-4870;1872-7719;scimago;2018;22915;1.039;vhb-jourqual;2015;B;Handelsblatt-Ranking BWL;2018;D;Handelsblatt-Ranking VWL;2017;C;Journal of Economic Psychology
RePEc:eee:joinma;2017;147;0.86;1.36;30;23;ReDIF-Article;1094-9968;1520-6653;scimago;2018;22928;2.807;vhb-jourqual;2015;B;Handelsblatt-Ranking BWL;2018;B;Handelsblatt-Ranking VWL;2017;;Journal of Interactive Marketing
RePEc:eee:jomega;2017;854;1.5;1.81;106;48;ReDIF-Article;0305-0483;1873-5274;scimago;2018;21915;3.292;vhb-jourqual;2015;B;Handelsblatt-Ranking BWL;2018;B;Handelsblatt-Ranking VWL;2017;;Omega
RePEc:eee:joreco;2017;402;0.64;0.76;158;16;ReDIF-Article;0969-6989;1873-1384;scimago;2018;22992;1.211;vhb-jourqual;2015;C;Handelsblatt-Ranking BWL;2018;D;Handelsblatt-Ranking VWL;2017;;Journal of Retailing and Consumer Services
RePEc:eee:jotrge;2017;616;0.67;0.86;141;27;ReDIF-Article;0966-6923;1873-1236;scimago;2018;29295;1.668;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;C;Handelsblatt-Ranking VWL;2017;;Journal of Transport Geography
RePEc:eee:jouret;2017;247;1.19;1.35;35;25;ReDIF-Article;0022-4359;1873-3271;scimago;2018;22990;3.791;vhb-jourqual;2015;A;Handelsblatt-Ranking BWL;2018;B;Handelsblatt-Ranking VWL;2017;;Journal of Retailing
RePEc:eee:jpolmo;2017;433;1.16;1.28;61;46;ReDIF-Article;0161-8938;1873-8060;scimago;2018;20320;0.642;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;D;Handelsblatt-Ranking VWL;2017;D;Journal of Policy Modeling
RePEc:eee:jrpoli;2017;514;1.08;1.28;131;28;ReDIF-Article;0301-4207;1873-7641;scimago;2018;110031;1.17;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;D;Handelsblatt-Ranking VWL;2017;C;Resources Policy
RePEc:eee:juecon;2017;566;2.01;2.44;55;88;ReDIF-Article;0094-1190;1095-9068;scimago;2018;24406;2.724;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;B;Handelsblatt-Ranking VWL;2017;B;Journal of Urban Economics
RePEc:eee:juipol;2017;252;1.05;0.99;69;28;ReDIF-Article;0957-1787;1878-4356;scimago;2018;19786;0.927;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;D;Handelsblatt-Ranking VWL;2017;D;Utilities Policy
RePEc:eee:labeco;2017;739;1.51;1.95;84;72;ReDIF-Article;0927-5371;1879-1034;scimago;2018;16922;1.529;vhb-jourqual;2015;B;Handelsblatt-Ranking BWL;2018;C;Handelsblatt-Ranking VWL;2017;C;Labour Economics
RePEc:eee:marpol;2017;168;0.12;0.16;0;21;ReDIF-Article;0308-597X;1872-9460;scimago;2018;27851;1.242;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;D;Handelsblatt-Ranking VWL;2017;;Marine Policy
RePEc:eee:matcom;2017;90;0.15;0.17;140;18;ReDIF-Article;0378-4754;1872-7166;scimago;2018;12166;0.526;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Mathematics and Computers in Simulation (MATCOM)
RePEc:eee:mateco;2017;248;0.55;0.62;83;52;ReDIF-Article;0304-4068;1873-1538;scimago;2018;28999;1.081;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;D;Handelsblatt-Ranking VWL;2017;D;Journal of Mathematical Economics
RePEc:eee:matsoc;2017;151;0.45;0.45;67;35;ReDIF-Article;0165-4896;1879-3118;scimago;2018;25057;0.581;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;D;Handelsblatt-Ranking VWL;2017;E;Mathematical Social Sciences
RePEc:eee:moneco;2017;1685;4.4;5.15;55;177;ReDIF-Article;0304-3932;1873-1295;scimago;2018;17555;7.248;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;A;Handelsblatt-Ranking VWL;2017;A;Journal of Monetary Economics
RePEc:eee:mulfin;2017;94;0.96;0.87;30;25;ReDIF-Article;1042-444X;1873-1309;scimago;2018;20669;0.49;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;E;Handelsblatt-Ranking VWL;2017;E;Journal of Multinational Financial Management
RePEc:eee:namrev;2017;;null;null;0;2;ReDIF-Article;1042-752X;1878-3333;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;North American Review of Economics and Finance
RePEc:eee:oprepe;2017;9;0.22;0.29;16;4;ReDIF-Article;2214-7160;;scimago;2018;21100379294;1.374;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Operations Research Perspectives
RePEc:eee:pacfin;2017;404;0.98;1.35;83;34;ReDIF-Article;0927-538X;1879-0585;scimago;2018;15465;0.787;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;D;Handelsblatt-Ranking VWL;2017;D;Pacific-Basin Finance Journal
RePEc:eee:phsmap;2017;1483;0.37;0.37;1012;49;ReDIF-Article;0378-4371;1873-2119;scimago;2018;29115;0.699;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;D;Handelsblatt-Ranking VWL;2017;;Physica A: Statistical Mechanics and its Applications
RePEc:eee:poleco;2017;504;1.19;1.57;48;75;ReDIF-Article;0176-2680;1873-5703;scimago;2018;64461;1.481;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;D;Handelsblatt-Ranking VWL;2017;D;European Journal of Political Economy
RePEc:eee:proeco;2017;1626;0.92;1.01;300;44;ReDIF-Article;0925-5273;1873-7579;scimago;2018;19165;2.475;vhb-jourqual;2015;B;Handelsblatt-Ranking BWL;2018;B;Handelsblatt-Ranking VWL;2017;C;International Journal of Production Economics
RePEc:eee:pubeco;2017;1604;2.6;3;118;145;ReDIF-Article;0047-2727;1879-2316;scimago;2018;29009;3.691;vhb-jourqual;2015;A;Handelsblatt-Ranking BWL;2018;B;Handelsblatt-Ranking VWL;2017;B;Journal of Public Economics
RePEc:eee:quaeco;2017;220;0.74;0.86;114;34;ReDIF-Article;1062-9769;1878-4259;scimago;2018;23633;0.486;vhb-jourqual;2015;B;Handelsblatt-Ranking BWL;2018;E;Handelsblatt-Ranking VWL;2017;E;The Quarterly Review of Economics and Finance
RePEc:eee:reacre;2017;33;0.37;0.36;19;7;ReDIF-Article;1052-0457;2467-9895;scimago;2018;15800154711;0.22;vhb-jourqual;2015;C;Handelsblatt-Ranking BWL;2018;E;Handelsblatt-Ranking VWL;2017;;Research in Accounting Regulation
RePEc:eee:reecon;2017;128;0.57;0.71;53;21;ReDIF-Article;1090-9443;1090-9451;scimago;2018;23736;1.192;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;E;Handelsblatt-Ranking VWL;2017;F;Research in Economics
RePEc:eee:reensy;2017;678;0.64;0.63;279;26;ReDIF-Article;0951-8320;1879-0836;scimago;2018;13853;1.944;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;C;Handelsblatt-Ranking VWL;2017;;Reliability Engineering and System Safety
RePEc:eee:regeco;2017;584;1.26;1.52;61;64;ReDIF-Article;0166-0462;1879-2308;scimago;2018;15139;1.57;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;C;Handelsblatt-Ranking VWL;2017;D;Regional Science and Urban Economics
RePEc:eee:regurb;2017;;null;null;0;5;ReDIF-Article;0034-3331;1878-4062;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Regional and Urban Economics
RePEc:eee:renene;2017;4542;1.1;1.2;968;59;ReDIF-Article;0960-1481;1879-0682;scimago;2018;27569;1.889;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Renewable Energy
RePEc:eee:rensus;2017;7630;1.54;1.77;1409;76;ReDIF-Article;1364-0321;1879-0690;scimago;2018;27567;3.288;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Renewable and Sustainable Energy Reviews
RePEc:eee:resene;2017;352;1.28;1.68;39;56;ReDIF-Article;0928-7655;1873-0221;scimago;2018;27614;1.192;vhb-jourqual;2015;B;Handelsblatt-Ranking BWL;2018;C;Handelsblatt-Ranking VWL;2017;C;Resource and Energy Economics
RePEc:eee:reseng;2017;;null;null;0;19;ReDIF-Article;0165-0572;1878-4054;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Resources and Energy
RePEc:eee:respol;2017;1811;2.1;2.65;133;123;ReDIF-Article;0048-7333;1873-7625;scimago;2018;22900;3.409;vhb-jourqual;2015;A;Handelsblatt-Ranking BWL;2018;B;Handelsblatt-Ranking VWL;2017;B;Research Policy
RePEc:eee:retrec;2017;122;0.34;0.38;40;17;ReDIF-Article;0739-8859;1875-7979;scimago;2018;4100151536;0.983;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;D;Handelsblatt-Ranking VWL;2017;D;Research in Transportation Economics
RePEc:eee:reveco;2017;736;1.07;1.16;173;36;ReDIF-Article;1059-0560;1873-8036;scimago;2018;22707;0.772;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;D;Handelsblatt-Ranking VWL;2017;D;International Review of Economics & Finance
RePEc:eee:revfin;2017;107;0.37;0.95;25;26;ReDIF-Article;1058-3300;1873-5924;scimago;2018;24206;0.408;vhb-jourqual;2015;B;Handelsblatt-Ranking BWL;2018;E;Handelsblatt-Ranking VWL;2017;D;Review of Financial Economics
RePEc:eee:riceco;2017;;null;null;0;10;ReDIF-Article;0035-5054;1096-1143;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Ricerche Economiche
RePEc:eee:riibaf;2017;273;0.98;0.95;254;21;ReDIF-Article;0275-5319;1878-3384;scimago;2018;12056;0.647;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;E;Handelsblatt-Ranking VWL;2017;D;Research in International Business and Finance
RePEc:eee:rujoec;2017;33;0.87;0.87;21;5;ReDIF-Article;2405-4739;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Russian Journal of Economics
RePEc:eee:scaman;2017;;null;null;0;18;ReDIF-Article;0956-5221;1873-3387;scimago;2018;23064;0.883;vhb-jourqual;2015;B;Handelsblatt-Ranking BWL;2018;E;Handelsblatt-Ranking VWL;2017;;Scandinavian Journal of Management
RePEc:eee:soceps;2017;74;0.46;0.73;33;24;ReDIF-Article;0038-0121;1873-6041;scimago;2018;18291;0.722;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;D;Handelsblatt-Ranking VWL;2017;D;Socio-Economic Planning Sciences
RePEc:eee:socmed;2017;1044;0.38;0.4;497;48;ReDIF-Article;0277-9536;1873-5347;scimago;2018;18983;2.031;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;C;Handelsblatt-Ranking VWL;2017;;Social Science & Medicine
RePEc:eee:spacre;2017;16;0.18;0.18;10;3;ReDIF-Article;1138-4891;1988-4672;scimago;2018;21100266590;0.376;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;E;Handelsblatt-Ranking VWL;2017;;Revista de Contabilidad - Spanish Accounting Review
RePEc:eee:spapps;2017;215;0.25;0.3;145;31;ReDIF-Article;0304-4149;1879-209X;scimago;2018;26929;1.591;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Stochastic Processes and their Applications
RePEc:eee:spomar;2017;108;0.49;0.55;41;13;ReDIF-Article;1441-3523;1839-2083;scimago;2018;12100156754;1.769;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;D;Handelsblatt-Ranking VWL;2017;;Sport Management Review
RePEc:eee:stapro;2017;234;0.13;0.15;312;24;ReDIF-Article;0167-7152;1879-2103;scimago;2018;14794;0.559;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;E;Handelsblatt-Ranking VWL;2017;;Statistics & Probability Letters
RePEc:eee:streco;2017;192;1.23;1.18;32;37;ReDIF-Article;0954-349X;1873-6017;scimago;2018;29487;0.535;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;D;Handelsblatt-Ranking VWL;2017;D;Structural Change and Economic Dynamics
RePEc:eee:techno;2017;74;2;2;23;6;ReDIF-Article;0166-4972;1879-2383;scimago;2018;14726;2.3;vhb-jourqual;2015;C;Handelsblatt-Ranking BWL;2018;C;Handelsblatt-Ranking VWL;2017;;Technovation
RePEc:eee:tefoso;2017;926;0.92;1.02;309;20;ReDIF-Article;0040-1625;1873-5509;scimago;2018;14704;1.422;vhb-jourqual;2015;B;Handelsblatt-Ranking BWL;2018;C;Handelsblatt-Ranking VWL;2017;;Technological Forecasting and Social Change
RePEc:eee:telpol;2017;133;null;0.59;0;25;ReDIF-Article;0308-5961;1879-3258;scimago;2018;20870;0.753;vhb-jourqual;2015;C;Handelsblatt-Ranking BWL;2018;D;Handelsblatt-Ranking VWL;2017;D;Telecommunications Policy
RePEc:eee:thpobi;2017;32;0.14;0.11;40;7;ReDIF-Article;0040-5809;1096-0325;scimago;2018;14343;1.029;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Theoretical Population Biology
RePEc:eee:touman;2017;914;0.97;1.08;240;26;ReDIF-Article;0261-5177;1879-3193;scimago;2018;16547;2.924;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;B;Handelsblatt-Ranking VWL;2017;;Tourism Management
RePEc:eee:transa;2017;844;0.94;1.08;250;46;ReDIF-Article;0965-8564;1879-2375;scimago;2018;20891;2.036;vhb-jourqual;2015;B;Handelsblatt-Ranking BWL;2018;C;Handelsblatt-Ranking VWL;2017;C;Transportation Research Part A: Policy and Practice
RePEc:eee:transb;2017;927;1.06;1.37;204;52;ReDIF-Article;0191-2615;1879-2367;scimago;2018;20892;2.921;vhb-jourqual;2015;B;Handelsblatt-Ranking BWL;2018;B;Handelsblatt-Ranking VWL;2017;B;Transportation Research Part B: Methodological
RePEc:eee:transe;2017;708;0.89;1.19;119;37;ReDIF-Article;1366-5545;1878-5794;scimago;2018;20909;1.97;vhb-jourqual;2015;B;Handelsblatt-Ranking BWL;2018;C;Handelsblatt-Ranking VWL;2017;C;Transportation Research Part E: Logistics and Transportation Review
RePEc:eee:trapol;2017;545;0.8;0.91;105;37;ReDIF-Article;0967-070X;1879-310X;scimago;2018;20838;1.52;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;C;Handelsblatt-Ranking VWL;2017;;Transport Policy
RePEc:eee:wdevel;2017;2270;1.63;2.09;297;96;ReDIF-Article;0305-750X;1873-5991;scimago;2018;30060;2.254;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;C;Handelsblatt-Ranking VWL;2017;C;World Development
RePEc:eee:wodepe;2017;1;0.04;0.04;14;2;ReDIF-Article;2452-2929;2468-0532;scimago;2018;21100780469;0.348;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;World Development Perspectives
RePEc:eee:worbus;2017;352;1.24;1.17;48;36;ReDIF-Article;1090-9516;1878-5573;scimago;2018;29400;2.672;vhb-jourqual;2015;B;Handelsblatt-Ranking BWL;2018;C;Handelsblatt-Ranking VWL;2017;C;Journal of World Business
RePEc:eee:worpat;2017;;null;null;0;12;ReDIF-Article;0172-2190;1874-690X;scimago;2018;15069;0.308;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;World Patent Information
RePEc:eej:eeconj;2017;;null;null;0;23;ReDIF-Article;0094-5056;1939-4632;scimago;2018;19455;0.254;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;E;Handelsblatt-Ranking VWL;2017;E;Eastern Economic Journal
RePEc:eff:ekoeco;2017;;null;null;0;1;ReDIF-Article;1330-0636;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Ekonomija Economics
RePEc:egr:ejge00;2017;11;0.12;0.22;0;4;ReDIF-Article;2254-7088;;scimago;2018;21100444329;0.12;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;E;European Journal of Government and Economics
RePEc:eip:journl;2017;7;0.05;0.03;34;2;ReDIF-Article;1605-7988;2518-7449;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;F;Economy and Forecasting
RePEc:ejn:ejbmjr;2017;5;0.04;0.07;25;2;ReDIF-Article;2148-0206;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Eurasian Journal of Business and Management
RePEc:ejn:ejefjr;2017;10;0.12;0.14;38;2;ReDIF-Article;2148-0192;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Eurasian Journal of Economics and Finance
RePEc:ejn:ejssjr;2017;3;0.02;0.05;18;2;ReDIF-Article;2148-0214;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Eurasian Journal of Social Sciences
RePEc:ekm:wpaper;2017;11;0.01;0.06;54;4;ReDIF-Article;1809-4538;0101-3157;scimago;2018;5800169372;0.305;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;F;Brazilian Journal of Political Economy
RePEc:elg:ejeepi;2017;82;0.48;0.6;27;11;ReDIF-Article;2052-7772;2052-7764;scimago;2018;21100842566;0.345;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;F;Handelsblatt-Ranking VWL;2017;F;European Journal of Economics and Economic Policies: Intervention
RePEc:elg:rokejn;2017;51;0.16;0.29;40;9;ReDIF-Article;2052-7764;2052-7772;scimago;2018;21100842566;0.345;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;F;Handelsblatt-Ranking VWL;2017;F;Review of Keynesian Economics
RePEc:elt:journl;2017;11;0.13;0.07;29;7;ReDIF-Article;0041-3011;;scimago;2018;26181;0.201;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;E;El Trimestre Económico
RePEc:ene:journl;2017;;null;null;0;;ReDIF-Article;1818-4170;2518-1610;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Economics of Nature and the Environment
RePEc:epc:journl;2017;28;0.37;0.47;12;5;ReDIF-Article;1749-852X;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;F;Economics of Peace and Security Journal
RePEc:eph:journl;2017;16;null;0.1;0;5;ReDIF-Article;1842-0206;2069-8887;scimago;2018;21100334848;0.203;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Management & Marketing
RePEc:erc:cypepr;2017;6;0.11;0.11;8;6;ReDIF-Article;1450-457X;1450-4561;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Cyprus Economic Policy Review
RePEc:erh:journl;2017;7;0.44;0.27;7;3;ReDIF-Article;1308-8815;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;International Econometric Review (IER)
RePEc:erp:eiopxx;2017;2;null;0.05;0;8;ReDIF-Article;1027-5193;;scimago;2018;5700161625;0.361;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;European Integration online Papers (EIoP)
RePEc:erp:lregxx;2017;;null;null;0;3;ReDIF-Article;1813-856X;;scimago;2018;17600155103;0.124;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Living Reviews in European Governance (LREG)
RePEc:erv:ancoec;2017;;null;null;0;1;ReDIF-Article;1885-6985;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Entelequia. Revista Interdisciplinar
RePEc:erv:aysays;2017;;null;null;17;;ReDIF-Article;2174-7563;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Arte y sociedad. Revista de investigación
RePEc:erv:cedced;2017;;null;null;20;;ReDIF-Article;1989-4155;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Cuadernos de Educación y Desarrollo
